AGE,HEIGHT_CM,WEIGHT_KG,SKILL_DRIBBLING,ATTACKING_CROSSING,ATTACKING_FINISHING,MOVEMENT_ACCELERATION,MOVEMENT_SPRINT_SPEED,POWER_SHOT_POWER,MENTALITY_AGGRESSION,DEFENDING_MARKING,DEFENDING_STANDING_TACKLE,GOALKEEPING_DIVING,GOALKEEPING_HANDLING,OVERALL,POTENTIAL
25,185,88,78,65,81,77,75,81,63,37,26,9,10,79,82
26,184,77,64,47,41,65,64,56,86,73,75,14,14,74,77
32,182,84,85,61,80,75,67,77,51,25,30,6,16,77,77
34,183,73,73,63,79,76,49,79,51,57,19,8,10,75,75
24,176,70,71,66,63,74,77,70,61,64,71,10,8,70,76
22,173,66,80,72,65,88,80,70,32,24,20,6,6,74,81
25,178,70,84,77,70,78,72,79,56,24,44,13,12,78,83
28,186,76,74,49,80,64,66,75,58,22,29,11,11,77,77
35,178,83,71,73,61,83,86,67,72,66,72,12,12,72,72
29,180,77,76,68,63,77,84,86,78,50,53,16,7,73,73
28,185,73,13,30,11,58,58,56,21,20,12,74,73,76,78
27,179,72,77,71,59,76,66,68,50,42,52,15,12,73,74
30,194,92,12,11,13,28,28,50,30,20,10,76,76,76,76
27,177,77,62,55,30,66,55,67,72,61,62,12,9,70,73
27,197,92,52,52,35,33,34,63,62,67,74,9,9,70,71
28,179,69,68,68,59,68,67,70,62,68,70,11,15,75,75
28,188,74,68,68,52,49,57,73,74,66,67,10,8,73,73
26,178,74,69,69,65,72,70,67,44,60,50,11,6,72,75
24,184,84,65,68,35,64,64,83,75,77,77,16,10,77,80
28,187,85,12,15,8,44,54,56,35,11,13,86,80,85,86
25,184,83,72,65,69,68,68,76,63,32,28,15,12,72,75
21,193,81,66,60,59,55,63,74,69,70,74,11,12,73,80
23,184,80,73,48,69,77,77,76,37,19,20,12,14,71,76
27,180,79,75,68,70,72,68,81,79,70,66,14,7,76,76
27,190,81,54,63,35,67,76,38,70,72,71,15,13,70,71
25,176,65,76,75,70,69,67,68,52,60,47,12,7,73,78
30,191,94,68,64,55,46,55,71,71,90,89,15,6,87,87
25,187,85,59,56,44,51,44,68,76,73,76,13,9,73,77
27,172,67,75,70,57,79,76,76,75,68,80,11,14,76,77
27,176,75,71,73,44,67,66,77,69,32,41,8,10,72,72
25,174,70,78,80,63,71,68,75,74,65,70,16,10,74,77
30,192,89,55,41,42,44,62,68,70,73,72,13,15,73,73
27,181,76,74,82,44,76,78,75,75,79,81,15,11,80,80
27,183,73,55,60,35,60,71,63,66,73,76,8,13,73,74
30,189,74,71,74,65,75,74,65,76,55,66,10,16,71,71
31,177,76,76,65,45,73,64,77,82,72,82,12,12,77,77
29,188,82,69,54,68,66,67,78,77,71,76,6,9,75,75
28,169,66,70,68,54,68,58,78,74,73,67,11,11,76,76
30,181,75,72,63,67,69,65,68,70,59,57,13,13,73,73
25,185,82,71,58,76,85,89,73,65,33,25,6,11,72,76
25,188,84,57,42,34,54,58,58,79,73,76,9,13,76,79
24,174,67,80,64,75,90,88,71,61,35,39,9,12,75,80
26,180,77,57,63,19,70,68,48,71,71,73,8,13,71,74
30,186,82,85,73,77,53,58,76,78,50,59,14,15,81,81
27,182,77,72,63,66,70,72,70,63,71,63,14,9,71,72
35,176,75,52,62,41,63,66,61,56,76,70,7,13,72,72
27,172,70,71,63,60,66,63,77,85,65,70,7,11,74,75
28,188,84,59,47,49,64,74,57,78,78,77,14,11,78,79
22,185,83,60,56,42,64,60,76,85,77,82,11,15,78,83
32,172,64,68,73,50,62,69,72,68,70,72,11,9,71,71
28,196,92,64,17,42,44,63,50,83,84,85,16,13,82,82
32,182,77,11,11,11,35,35,56,17,20,14,74,65,71,71
22,189,75,66,42,42,54,73,55,74,77,78,11,12,76,83
25,179,71,74,61,75,87,86,77,61,37,31,11,15,73,75
36,188,92,10,11,14,50,63,62,32,20,22,79,82,82,82
32,190,86,22,13,18,36,37,50,41,15,12,76,73,74,74
28,183,81,70,73,66,63,64,85,88,77,83,10,14,79,79
29,187,80,71,52,60,68,67,67,71,76,76,10,12,75,75
30,175,75,66,69,56,59,61,68,78,70,73,14,9,72,72
23,180,75,72,58,62,74,69,77,75,73,72,8,10,73,78
26,176,76,70,51,63,70,68,69,80,64,75,15,13,73,75
30,187,78,72,45,73,72,66,79,57,42,21,16,14,73,73
24,187,84,74,75,73,82,83,77,83,63,52,11,8,77,80
20,180,69,76,88,56,79,81,76,73,76,83,14,15,83,89
35,187,92,67,57,70,59,58,76,74,41,40,6,7,73,73
31,166,66,82,70,73,88,85,73,77,29,23,7,9,76,76
31,196,88,37,28,30,39,48,37,80,72,75,13,14,73,73
29,177,72,82,79,79,77,76,83,63,73,61,14,8,80,80
33,195,90,18,12,17,30,33,57,18,27,10,83,84,82,82
23,191,82,49,60,33,61,68,49,68,71,72,14,8,71,77
29,191,77,58,70,38,47,52,61,71,75,77,7,11,75,76
29,189,83,68,53,65,64,73,74,84,74,77,15,8,76,76
25,176,78,84,83,78,87,87,87,75,29,31,8,14,84,88
25,185,87,83,65,68,69,70,81,74,54,59,9,14,79,82
20,184,75,82,64,75,77,75,77,59,32,24,8,7,74,85
28,182,75,75,68,71,68,76,72,64,36,30,15,16,72,72
26,173,63,72,52,47,66,67,60,74,69,72,6,12,72,75
19,183,68,76,76,65,75,79,69,55,48,54,6,14,74,85
28,184,73,71,67,70,70,68,70,57,55,56,6,6,72,72
27,191,88,63,63,30,64,64,68,78,68,72,10,11,72,75
29,170,65,68,65,57,77,78,61,60,43,70,13,14,71,71
18,174,64,81,70,74,86,84,71,54,25,28,9,8,76,89
31,182,87,23,54,29,61,51,50,74,68,71,12,14,72,72
27,180,77,79,61,80,75,77,80,55,43,41,15,12,81,82
24,191,86,15,14,9,54,52,56,31,13,12,76,72,76,84
35,184,83,69,73,55,51,71,73,59,69,67,6,9,71,71
24,187,73,75,64,64,70,73,75,80,76,70,12,11,76,82
31,183,75,81,72,77,70,70,80,54,33,29,9,16,77,77
38,184,82,48,41,25,49,35,65,91,76,76,14,15,74,74
22,178,76,80,54,74,89,86,70,61,22,18,8,14,73,81
28,177,73,86,76,86,76,70,83,73,35,20,8,14,83,83
29,168,62,80,70,62,89,88,74,59,40,40,16,15,75,75
24,177,74,68,72,47,73,77,75,71,72,74,7,10,73,77
26,173,71,76,68,71,92,92,77,54,38,27,8,15,73,74
21,177,75,72,70,62,69,67,66,64,64,73,8,9,70,80
31,188,77,62,56,51,52,52,57,78,82,83,14,6,81,81
27,180,65,72,74,54,77,77,69,68,66,72,15,8,72,72
31,187,80,67,61,40,54,66,48,63,72,72,15,14,72,72
22,189,82,35,29,27,48,58,50,64,73,74,6,7,72,82
31,176,73,82,42,79,86,82,75,43,27,20,9,12,79,79
23,185,70,66,70,37,77,83,59,70,67,73,8,13,71,78
25,190,83,57,31,34,72,75,68,73,74,76,6,6,73,76
32,173,65,74,75,66,74,70,66,57,45,47,11,16,74,74
31,192,85,45,51,36,47,51,62,84,72,71,8,7,72,72
29,178,79,73,75,64,74,73,80,41,38,33,10,10,72,72
30,196,75,70,59,50,44,41,62,80,79,79,7,16,80,80
28,174,71,72,72,61,69,68,72,69,65,67,6,11,73,73
33,189,85,50,47,40,49,53,65,68,73,71,12,14,71,71
25,173,70,77,66,70,87,85,59,55,29,24,12,7,72,73
26,186,80,10,12,10,30,25,48,26,13,14,71,70,72,75
21,183,74,68,57,73,68,74,70,67,56,62,12,6,75,82
26,169,62,75,65,60,89,89,72,78,31,30,12,8,72,73
26,191,86,70,30,74,58,58,80,79,20,23,15,14,73,76
33,175,68,77,71,70,71,67,75,41,42,52,10,8,75,75
27,177,73,75,68,36,69,76,56,82,75,74,13,10,74,74
27,177,74,75,73,42,85,82,72,72,69,72,8,11,75,76
22,180,67,75,70,78,75,73,72,72,45,48,8,6,75,81
32,177,76,74,71,60,44,38,74,85,71,74,7,6,76,76
27,180,67,71,64,69,75,78,66,61,43,31,6,13,71,71
23,187,80,11,12,16,40,45,50,21,20,15,70,66,70,79
30,186,77,73,69,71,63,67,80,72,72,73,8,8,75,75
29,187,83,52,58,23,51,54,51,87,74,82,14,12,79,80
32,183,78,58,51,54,54,65,62,67,70,71,8,9,71,71
35,183,80,62,56,52,66,62,58,71,79,72,12,9,73,73
33,191,84,66,62,49,53,62,64,77,69,71,7,16,71,71
27,175,70,74,70,66,77,76,69,44,47,49,10,10,72,72
27,181,75,72,54,60,66,59,82,83,64,64,13,9,71,72
22,188,73,69,49,59,68,74,76,68,76,77,12,12,77,83
30,180,70,74,74,66,74,73,70,88,62,56,6,16,71,71
24,169,72,59,55,40,65,55,61,81,65,71,14,14,71,78
25,170,70,75,77,48,76,78,68,82,77,79,7,10,79,83
24,187,78,81,65,62,66,64,83,75,65,71,9,10,77,82
27,186,85,65,71,43,67,68,62,64,71,70,15,15,73,74
23,178,70,71,69,59,65,59,62,47,63,59,6,10,70,78
33,170,60,83,83,66,89,86,75,68,70,68,10,10,82,82
27,188,84,20,17,17,53,45,53,27,24,15,75,73,76,79
22,177,75,66,59,54,66,67,62,73,71,75,11,7,74,82
28,181,78,74,84,72,60,57,74,66,57,62,8,15,78,78
30,187,75,39,30,28,38,51,50,74,75,72,15,14,72,72
21,179,75,78,81,64,75,66,75,63,35,34,9,12,73,83
25,176,69,83,77,72,77,76,75,47,69,59,10,14,78,82
29,185,81,63,62,45,52,53,78,75,65,74,8,8,71,71
29,183,77,66,62,56,67,73,64,81,76,74,8,9,76,76
27,177,71,68,60,75,70,68,73,49,28,23,13,13,72,72
26,190,80,66,70,56,68,67,67,77,70,74,13,15,74,77
22,186,81,77,44,80,77,79,81,78,29,48,9,13,78,84
23,179,66,77,65,61,75,74,72,29,32,29,12,8,70,75
27,172,63,66,71,70,85,79,75,76,63,66,16,12,71,71
36,184,75,64,58,72,43,63,77,64,39,35,9,16,70,70
30,175,65,74,59,70,76,80,75,45,56,21,7,11,73,73
27,188,78,60,60,46,68,70,72,78,80,82,13,7,78,78
36,188,83,11,13,17,55,50,49,36,9,12,72,72,73,73
25,180,74,71,69,55,76,75,49,64,69,69,6,8,70,75
21,176,69,74,75,55,88,89,61,69,68,74,14,14,74,84
33,192,83,80,60,73,75,71,73,72,50,50,7,13,76,76
25,178,69,69,71,57,62,58,69,57,62,57,8,6,70,73
21,188,70,34,36,32,65,67,44,58,75,71,8,12,70,79
22,173,68,70,57,58,73,71,77,82,67,66,8,10,71,80
22,180,71,69,51,55,66,61,65,66,70,69,15,12,72,81
26,178,75,67,58,59,72,72,67,76,67,71,9,13,71,74
27,185,72,77,67,79,77,76,84,61,34,39,9,11,78,79
22,180,73,85,73,65,78,69,70,48,53,57,12,12,78,85
28,180,82,67,45,50,63,63,65,78,82,80,8,13,78,78
25,184,78,16,15,19,55,48,47,29,10,15,73,68,72,76
24,193,88,73,54,73,65,68,78,49,36,41,11,15,74,80
32,177,70,88,80,68,78,67,85,79,53,22,5,10,80,80
19,169,56,75,60,58,68,63,60,54,53,57,12,15,71,87
33,191,83,65,72,54,53,49,74,68,68,73,12,10,71,71
25,189,84,53,37,33,63,53,71,83,73,76,10,10,73,76
25,176,70,88,84,70,82,74,78,23,50,23,15,15,82,84
31,168,71,76,70,73,82,83,70,27,38,46,6,10,76,76
27,179,77,56,67,41,71,72,63,82,69,73,10,9,72,72
28,182,69,67,43,75,67,69,74,67,21,25,8,11,71,71
24,164,61,72,65,63,83,85,58,54,41,48,14,13,71,77
23,190,79,69,69,70,70,77,73,68,38,48,14,15,73,78
26,191,90,65,62,73,48,50,76,72,29,28,8,16,70,72
32,175,75,79,76,70,74,71,74,33,34,37,9,9,78,78
24,177,70,83,67,69,75,74,64,60,41,33,15,7,75,80
33,186,80,69,73,57,61,54,70,80,76,75,6,16,72,72
29,178,72,71,72,36,74,73,66,74,66,73,12,8,72,72
25,188,85,68,62,66,59,63,72,76,67,71,7,7,75,78
27,175,71,75,75,48,84,79,68,73,67,75,10,14,75,76
27,179,66,76,65,68,74,80,63,44,54,56,15,7,72,72
22,175,65,75,61,69,87,85,77,46,28,19,15,10,72,78
36,188,84,11,13,20,42,41,51,28,12,20,70,73,72,72
25,185,77,58,66,21,68,69,47,72,72,72,7,11,73,78
29,180,78,65,44,56,65,64,85,86,78,74,15,15,74,74
26,174,65,70,52,75,86,87,69,73,32,38,8,11,73,76
21,180,78,67,68,43,76,79,72,75,77,76,7,8,75,81
27,176,68,65,69,28,78,76,56,71,62,73,7,10,71,72
28,183,74,72,64,58,49,33,81,87,73,75,10,14,75,75
23,180,65,67,71,54,83,83,70,71,63,67,9,14,70,75
23,176,70,74,67,57,86,85,68,63,63,71,7,10,70,75
28,177,83,70,61,70,76,78,72,60,30,35,15,10,73,73
26,176,68,72,72,59,73,65,70,64,56,67,15,12,73,75
29,172,70,74,69,64,69,68,75,70,27,40,12,16,72,72
30,179,73,74,73,65,67,69,68,68,66,37,7,8,73,73
26,187,86,77,50,86,65,69,83,68,32,31,14,12,83,86
28,185,75,14,12,14,49,46,46,12,28,19,74,76,75,75
